@relation bank_clustered

@attribute Instance_number numeric
@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,48,FEMALE,INNER_CITY,17546,NO,1,NO,NO,NO,NO,YES,cluster2
1,40,MALE,TOWN,30085.1,YES,3,YES,NO,YES,YES,NO,cluster4
2,51,FEMALE,INNER_CITY,16575.4,YES,0,YES,YES,YES,NO,NO,cluster3
3,23,FEMALE,TOWN,20375.4,YES,3,NO,NO,YES,NO,NO,cluster3
4,57,FEMALE,RURAL,50576.3,YES,0,NO,YES,NO,NO,NO,cluster1
5,57,FEMALE,TOWN,37869.6,YES,2,NO,YES,YES,NO,YES,cluster1
6,22,MALE,RURAL,8877.07,NO,0,NO,NO,YES,NO,YES,cluster4
7,58,MALE,TOWN,24946.6,YES,0,YES,YES,YES,NO,NO,cluster3
8,37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,NO,NO,cluster1
9,54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO,cluster5
10,66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO,cluster3
11,52,FEMALE,INNER_CITY,26658.8,NO,0,YES,YES,YES,YES,NO,cluster0
12,44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES,cluster3
13,66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES,cluster5
14,36,MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO,cluster3
15,38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO,cluster3
16,37,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,NO,cluster3
17,46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO,cluster3
18,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES,cluster2
19,31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO,cluster3
20,61,MALE,INNER_CITY,57880.7,YES,2,NO,YES,NO,NO,YES,cluster5
21,50,MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO,NO,cluster1
22,54,MALE,INNER_CITY,38446.6,YES,0,NO,YES,YES,NO,NO,cluster3
23,27,FEMALE,TOWN,15538.8,NO,0,YES,YES,YES,YES,NO,cluster3
24,22,MALE,INNER_CITY,12640.3,NO,2,YES,YES,YES,NO,NO,cluster5
25,56,MALE,INNER_CITY,41034,YES,0,YES,YES,YES,YES,NO,cluster4
26,45,MALE,INNER_CITY,20809.7,YES,0,NO,YES,YES,YES,NO,cluster3
27,39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,NO,YES,cluster2
28,39,FEMALE,INNER_CITY,29359.1,NO,3,YES,NO,YES,YES,NO,cluster0
29,61,MALE,RURAL,24270.1,YES,1,NO,NO,YES,NO,YES,cluster2
30,61,FEMALE,RURAL,22942.9,YES,2,NO,YES,YES,NO,NO,cluster1
31,20,FEMALE,TOWN,16325.8,YES,2,NO,YES,NO,NO,NO,cluster3
32,45,MALE,SUBURBAN,23443.2,YES,1,YES,YES,YES,NO,YES,cluster5
33,33,FEMALE,INNER_CITY,29921.3,NO,3,YES,YES,NO,NO,NO,cluster0
34,43,MALE,SUBURBAN,37521.9,NO,0,NO,YES,YES,NO,YES,cluster5
35,27,FEMALE,INNER_CITY,19868,YES,2,NO,YES,YES,NO,NO,cluster1
36,19,MALE,RURAL,10953,YES,3,YES,YES,YES,NO,NO,cluster1
37,36,FEMALE,RURAL,13381,NO,0,YES,NO,YES,NO,YES,cluster4
38,43,FEMALE,TOWN,18504.3,YES,0,YES,YES,YES,NO,NO,cluster3
39,66,FEMALE,SUBURBAN,25391.5,NO,2,NO,NO,YES,NO,NO,cluster1
40,55,MALE,TOWN,26774.2,YES,0,NO,NO,YES,YES,YES,cluster4
41,47,FEMALE,INNER_CITY,26952.6,YES,0,YES,NO,YES,NO,NO,cluster2
42,67,MALE,TOWN,55716.5,NO,2,YES,YES,NO,NO,YES,cluster5
43,32,FEMALE,TOWN,27571.5,YES,0,YES,NO,YES,YES,NO,cluster4
44,20,MALE,INNER_CITY,13740,NO,2,YES,YES,YES,YES,NO,cluster5
45,64,MALE,INNER_CITY,52670.6,YES,2,NO,YES,YES,YES,YES,cluster4
46,50,FEMALE,INNER_CITY,13283.9,NO,1,YES,YES,YES,NO,YES,cluster2
47,29,MALE,INNER_CITY,13106.6,NO,2,NO,YES,YES,YES,YES,cluster5
48,52,MALE,INNER_CITY,39547.8,NO,2,YES,NO,YES,NO,YES,cluster5
49,47,FEMALE,RURAL,17867.3,YES,2,YES,YES,NO,NO,NO,cluster1
50,24,MALE,TOWN,14309.7,NO,2,YES,YES,NO,NO,NO,cluster5
51,36,MALE,TOWN,23894.8,YES,0,NO,NO,NO,NO,NO,cluster3
52,43,MALE,TOWN,16259.7,YES,1,NO,YES,YES,NO,YES,cluster3
53,48,MALE,SUBURBAN,29794.1,NO,1,NO,YES,YES,NO,YES,cluster5
54,63,MALE,TOWN,56842.5,YES,0,NO,YES,YES,YES,NO,cluster3
55,52,FEMALE,RURAL,47835.8,NO,3,NO,YES,NO,NO,YES,cluster0
56,58,FEMALE,INNER_CITY,24977.5,NO,0,NO,NO,YES,NO,YES,cluster2
57,28,MALE,INNER_CITY,23124.9,YES,0,NO,YES,YES,NO,YES,cluster3
58,29,FEMALE,INNER_CITY,15143.8,YES,0,NO,NO,YES,NO,NO,cluster3
59,34,MALE,INNER_CITY,25334.3,NO,1,YES,YES,YES,YES,YES,cluster4
60,42,FEMALE,INNER_CITY,24763.3,YES,1,NO,YES,YES,YES,YES,cluster2
61,65,FEMALE,INNER_CITY,36589,NO,1,YES,NO,YES,NO,YES,cluster2
62,47,MALE,INNER_CITY,27022.6,YES,2,NO,YES,YES,NO,NO,cluster1
63,20,MALE,INNER_CITY,11700.4,YES,0,NO,YES,NO,NO,NO,cluster3
64,21,MALE,TOWN,5014.21,NO,0,YES,YES,YES,YES,NO,cluster5
65,42,MALE,INNER_CITY,17390.1,YES,0,NO,YES,YES,NO,NO,cluster3
66,19,MALE,TOWN,10861,NO,2,NO,YES,YES,NO,NO,cluster5
67,41,FEMALE,TOWN,34892.9,NO,0,NO,YES,YES,YES,NO,cluster3
68,30,MALE,TOWN,19403.1,NO,2,NO,YES,YES,NO,NO,cluster5
69,31,FEMALE,RURAL,10441.9,YES,2,NO,NO,YES,NO,YES,cluster1
70,25,MALE,INNER_CITY,14064.9,YES,3,YES,YES,YES,NO,NO,cluster0
71,21,MALE,INNER_CITY,8062.73,NO,0,NO,NO,YES,NO,YES,cluster4
72,36,MALE,INNER_CITY,31982,YES,3,YES,YES,YES,YES,YES,cluster4
73,58,FEMALE,INNER_CITY,23197.5,YES,2,NO,YES,NO,YES,NO,cluster1
74,64,FEMALE,INNER_CITY,52674,NO,2,YES,YES,YES,NO,YES,cluster5
75,59,FEMALE,RURAL,35610.5,NO,2,YES,NO,NO,NO,YES,cluster5
76,45,FEMALE,TOWN,26948,NO,0,NO,YES,YES,YES,NO,cluster3
77,61,MALE,INNER_CITY,49456.7,YES,1,YES,YES,YES,YES,YES,cluster4
78,30,FEMALE,INNER_CITY,14724.5,YES,0,YES,NO,YES,NO,NO,cluster3
79,58,FEMALE,TOWN,34524.9,YES,2,YES,YES,NO,NO,YES,cluster5
80,50,FEMALE,TOWN,22052.1,NO,3,NO,YES,YES,NO,YES,cluster0
81,30,MALE,INNER_CITY,27808.1,NO,3,NO,NO,YES,NO,NO,cluster0
82,29,FEMALE,INNER_CITY,12591.4,YES,1,NO,YES,YES,NO,NO,cluster0
83,35,MALE,INNER_CITY,16394.4,YES,1,NO,YES,YES,NO,YES,cluster2
84,62,MALE,INNER_CITY,24026.1,YES,0,NO,NO,YES,YES,YES,cluster4
85,36,MALE,INNER_CITY,31683.1,YES,1,YES,YES,YES,NO,YES,cluster4
86,25,FEMALE,INNER_CITY,15525,YES,0,NO,YES,YES,NO,NO,cluster3
87,66,FEMALE,TOWN,22562.2,NO,0,YES,YES,YES,YES,NO,cluster3
88,30,MALE,SUBURBAN,15848.7,YES,0,YES,YES,NO,YES,NO,cluster4
89,54,FEMALE,INNER_CITY,31095.6,YES,2,NO,NO,YES,NO,YES,cluster2
90,37,MALE,TOWN,24814.5,YES,1,YES,NO,YES,YES,YES,cluster4
91,28,FEMALE,INNER_CITY,25429.3,NO,2,NO,YES,YES,YES,NO,cluster0
92,53,FEMALE,RURAL,34866.5,NO,0,NO,NO,YES,NO,YES,cluster2
93,61,MALE,INNER_CITY,42579.1,YES,2,YES,YES,YES,NO,NO,cluster5
94,61,FEMALE,INNER_CITY,41127.4,YES,0,YES,YES,NO,NO,NO,cluster3
95,18,FEMALE,INNER_CITY,9990.11,YES,0,NO,YES,YES,NO,NO,cluster3
96,22,MALE,INNER_CITY,7948.62,YES,1,NO,NO,NO,YES,NO,cluster4
97,34,MALE,TOWN,30870.8,YES,2,YES,YES,YES,YES,YES,cluster5
98,35,FEMALE,INNER_CITY,12125.8,NO,2,NO,YES,YES,NO,NO,cluster0
99,18,FEMALE,RURAL,15348.9,YES,0,YES,NO,YES,NO,NO,cluster3
100,54,MALE,INNER_CITY,26707.9,YES,1,NO,YES,YES,YES,YES,cluster2
101,27,FEMALE,INNER_CITY,11604.4,YES,2,YES,YES,YES,NO,NO,cluster1
102,42,MALE,INNER_CITY,15499.9,YES,0,YES,NO,YES,YES,YES,cluster4
103,43,MALE,TOWN,33088.5,NO,0,NO,YES,YES,YES,NO,cluster3
