@relation xtyt

@attribute XT1 numeric
@attribute XT2 numeric
@attribute YT {-1, 1}

@data
1.849578,0.096222,-1
-0.486123,-0.080641,-1
0.623977,-0.092729,1
-0.372383,-0.276701,-1
1.416792,-0.435375,-1
-0.603274,-0.16664,-1
1.575085,-0.292357,-1
0.388068,0.637358,1
0.511978,-0.163042,1
0.548352,0.091425,1
-0.492869,-0.062228,-1
1.523543,-0.120923,-1
0.331702,0.442471,1
0.342818,0.052419,1
-0.958913,0.42877,1
-0.118544,0.684558,1
-0.484584,-0.104063,-1
-1.022837,0.732202,1
-1.46554,0.309644,1
-1.639534,-0.185622,1
1.621537,-0.048797,-1
0.477851,-0.804539,-1
0.907592,-0.559463,-1
1.073105,-0.527823,-1
1.668419,-0.331522,-1
-0.363104,-0.100608,-1
0.248434,0.357033,1
0.375498,0.482287,1
0.108257,0.545531,1
-1.588836,0.404525,1
1.391896,-0.388689,-1
0.161918,0.44981,1
-1.257707,0.162057,1
0.108248,-0.617907,-1
0.719658,-0.130946,1
-1.234614,0.832373,1
0.07291,0.634481,1
-0.413028,0.78457,1
0.285802,0.236994,1
-1.551541,0.080684,1
1.434034,-0.251777,-1
-1.69406,-0.124884,1
0.52907,-0.723475,-1
1.177045,-0.534152,-1
1.139811,-0.745878,-1
0.894522,-0.651156,-1
-0.518594,-0.213186,-1
-0.589772,-0.086478,-1
0.458225,0.033651,1
0.501204,-0.026914,1
0.730782,-0.694708,-1
-0.881633,0.438044,1
1.028263,-0.64271,-1
1.600556,-0.147979,-1
-1.326763,0.187407,1
1.380943,0.263907,-1
1.184672,-0.661513,-1
0.033348,0.637971,1
0.604267,-0.13365,1
1.330172,-0.402858,-1
1.08569,-0.570603,-1
0.473571,0.110959,1
0.72168,-0.703876,-1
-0.401521,-0.198423,-1
-0.120502,0.640492,1
-0.819076,0.946724,1
-0.435764,-0.289476,-1
1.170542,-0.570776,-1
0.50503,0.271404,1
1.603319,0.050209,-1
-1.464524,-0.184197,1
1.616752,0.000611,-1
1.101752,-0.608228,-1
-1.569371,0.271324,1
-0.373296,0.14006,-1
-0.203857,-0.551529,-1
0.61218,-0.674161,-1
-1.279336,0.815894,1
-1.474461,0.162896,1
-0.618575,0.14563,-1
1.664152,0.173708,-1
0.246775,0.47914,1
0.519893,-0.093452,1
1.459984,-0.158367,-1
-1.262474,0.466999,1
-0.100924,0.530815,1
1.27658,-0.458361,-1
0.820527,-0.630446,-1
-0.52805,-0.166396,-1
-0.018451,0.66203,1
1.654718,-0.340709,-1
0.698442,-0.603838,-1
0.368459,-0.168001,1
-0.761802,0.576398,1
-0.52494,0.159428,-1
-1.519747,0.439817,1
0.352663,0.244592,1
0.611986,0.011079,1
1.206298,-0.584721,-1
0.476158,0.396847,1
1.430795,-0.286937,-1
0.707269,-0.665934,-1
0.558979,-0.829836,-1
0.546859,0.164604,1
0.003783,-0.684484,-1
0.17112,0.357414,1
-1.339693,0.46196,1
-1.547883,0.094178,1
0.605073,0.316894,1
0.513809,-0.574736,-1
-0.139353,-0.198789,-1
-1.450717,0.125096,1
0.567728,-0.047118,1
-0.757174,0.652498,1
0.859746,-0.718648,-1
-0.806584,0.817702,1
-1.649426,-0.154071,1
-1.461147,0.142899,1
-1.636253,0.014863,1
1.319651,-0.524169,-1
-1.557152,-0.176776,1
-1.203994,0.530026,1
-0.547972,0.528872,1
-0.917965,0.665128,1
0.821206,-0.729983,-1
0.451793,0.137737,1
-0.25386,0.646457,1
0.153292,-0.705286,-1
1.03173,-0.51001,-1
1.101702,-0.49253,-1
-1.590852,0.144864,1
-0.193391,0.792795,1
-0.268986,-0.28373,-1
0.432134,-0.642192,-1
-0.074205,-0.623175,-1
0.326693,-0.072951,1
-1.782563,-0.17541,1
0.029142,-0.612503,-1
-1.541511,0.090825,1
0.030641,0.663104,1
0.50602,-0.140638,1
-1.299269,0.355433,1
-0.71452,0.763099,1
0.576944,-0.215407,1
0.893749,-0.694236,-1
0.14614,-0.799257,-1
-0.524236,0.542117,1
-0.529109,0.058292,-1
-1.207957,0.678007,1
-1.246341,0.45166,1
0.50499,0.211848,1
-0.571291,-0.159749,-1
0.390139,-0.560299,-1
-0.157615,0.64065,1
1.198682,-0.422914,-1
-0.477825,0.028186,-1
-1.350238,0.457133,1
-0.269762,0.731556,1
1.388171,0.017155,-1
0.572053,-0.086731,1
0.457908,-0.696482,-1
-1.475756,0.161825,1
-0.268081,-0.278834,-1
-0.111311,0.705466,1
0.199352,0.485695,1
0.878799,-0.848822,-1
0.382679,0.294871,1
1.510906,-0.516003,-1
-0.568833,-0.106419,-1
-0.496696,0.883697,1
-0.528951,-0.171544,-1
1.335425,-0.152455,-1
-1.627136,-0.001079,1
-0.531718,0.687076,1
-0.629154,0.001263,-1
-1.433641,-0.031133,1
-1.585817,-0.21822,1
-1.378835,0.295379,1
-0.35617,-0.456719,-1
-0.105013,0.574124,1
0.13739,-0.577093,-1
-0.008877,0.589909,1
-0.248926,-0.259853,-1
0.938603,-0.616831,-1
-1.716915,0.085,1
1.200116,-0.771324,-1
-0.43832,0.633101,1
1.547792,0.043357,-1
-1.630779,0.191802,1
1.560465,-0.101546,-1
0.038903,0.677508,1
1.574957,-0.461759,-1
-0.08638,0.65311,1
-1.583001,0.105448,1
0.370919,-0.670437,-1
-0.661633,0.616149,1
0.198964,-0.612786,-1
-1.11701,0.456353,1
-1.15754,0.652784,1
-1.424033,0.644907,1
