@relation xy

@attribute X1 numeric
@attribute X2 numeric
@attribute Y {-1, 1}

@data
-1.773775,0.250425,1
-0.398806,-0.167688,-1
0.44806,-0.18156,1
-0.631084,0.694789,1
-1.308402,0.502329,1
0.240976,-0.9767,-1
1.455722,0.039621,-1
-0.43943,0.684502,1
1.150107,-0.598674,-1
0.476072,-0.22495,1
-1.027874,0.448332,1
1.578077,0.057933,-1
1.756665,0.003585,-1
-1.528124,-0.181702,1
1.486546,-0.403601,-1
1.695501,-0.214125,-1
-0.321129,-0.416639,-1
-1.760362,0.04932,1
0.390525,-0.062683,1
-1.696417,0.283399,1
0.401663,0.06088,1
0.104805,0.210181,1
-0.487636,-0.421779,-1
0.151278,0.400011,1
-0.546013,0.930574,1
1.205455,-0.306381,-1
1.254391,0.240538,-1
0.010273,-0.654267,-1
-0.579521,0.796414,1
-1.600863,0.240937,1
-1.856088,-0.014412,1
-0.497353,0.727287,1
-1.004825,0.701492,1
-0.415905,-0.374486,-1
-0.272788,-0.434246,-1
1.283951,-0.341609,-1
-0.418125,-0.327889,-1
0.586322,-0.686706,-1
-1.333679,0.660063,1
1.327932,-0.130423,-1
0.324203,0.477887,1
0.565915,0.148798,1
-0.021605,0.633092,1
1.420749,-0.417263,-1
-0.254696,0.61893,1
0.315517,0.091174,1
0.18055,-0.656713,-1
1.725395,-0.099002,-1
-1.436192,0.271674,1
-1.496309,0.653109,1
-1.736257,0.21062,1
-0.616856,0.150437,-1
-2.068163,-0.233952,1
0.828849,-0.752846,-1
1.374692,-0.67671,-1
-1.919916,0.145857,1
-0.509061,-0.099104,-1
-0.462685,-0.217883,-1
1.583566,-0.192655,-1
-1.072149,0.540679,1
0.002661,0.626582,1
-1.489686,0.593593,1
1.1243,-0.515074,-1
0.115728,0.484397,1
-0.704911,0.052911,-1
-1.023333,0.65237,1
-0.061413,0.592456,1
0.089867,0.101477,1
0.977724,-0.427922,-1
0.088582,-0.759602,-1
-1.628971,0.194589,1
0.976749,-0.611705,-1
-0.39462,0.693631,1
-0.193364,0.801714,1
-1.47996,0.361324,1
-0.530813,0.697015,1
0.904232,-0.700868,-1
-1.469998,0.261694,1
-0.253932,-0.469286,-1
0.44866,-0.217645,1
-0.674435,0.142631,-1
-0.539279,-0.382356,-1
-0.08302,0.43159,1
0.613161,-0.200112,1
-0.336318,0.82825,1
-0.191434,0.806869,1
0.933868,-0.571621,-1
0.202226,-0.703973,-1
1.502683,-0.009188,-1
0.440333,-0.13537,1
1.10318,-0.361176,-1
-0.60272,0.150414,-1
-1.329,0.347191,1
-0.995687,0.938468,1
-0.403888,0.738938,1
-1.819933,0.172438,1
0.578171,-0.850562,-1
0.238031,-0.721084,-1
0.370049,0.3071,1
-1.766325,0.098597,1
1.554042,-0.291442,-1
0.323691,-0.21274,1
-1.775839,0.101088,1
0.525685,0.321326,1
1.631487,-0.239054,-1
0.271666,-0.082697,1
-0.259782,-0.247084,-1
-1.281075,0.788634,1
-0.181371,-0.275896,-1
0.303441,0.106314,1
0.121708,-0.753069,-1
0.389313,-0.230222,1
-0.738783,0.697567,1
-0.415826,0.082414,-1
0.127842,0.3166,1
1.60622,-0.071689,-1
0.382249,0.288152,1
0.621607,-0.87504,-1
0.344529,0.132481,1
1.031539,-0.534245,-1
1.701066,-0.037888,-1
0.358419,0.040287,1
-0.098209,0.481839,1
0.961478,-0.619329,-1
1.354413,-0.59846,-1
-0.566325,-0.218502,-1
0.334316,0.295402,1
0.600056,-0.617964,-1
-0.658192,0.683636,1
0.266172,0.314548,1
1.521755,-0.546376,-1
0.263486,-0.239544,1
1.361133,-0.202653,-1
-1.392269,0.561848,1
0.749563,-0.514751,-1
-1.333368,0.529715,1
1.525419,-0.321804,-1
1.225531,-0.359728,-1
0.670324,-0.747406,-1
0.468987,-0.126531,1
-0.616525,0.65657,1
0.846226,-0.767277,-1
1.848062,0.203757,-1
0.272835,-0.228527,1
-0.590728,0.046638,-1
0.110914,0.581965,1
-0.48478,-0.45881,-1
0.477471,-0.745746,-1
0.913101,-0.546835,-1
-1.774395,-0.119117,1
-1.327092,0.568412,1
-0.385952,-0.326516,-1
-0.434088,-0.116915,-1
1.667379,0.162208,-1
0.008937,0.511152,1
-0.203854,0.787735,1
0.482192,-0.141897,1
-1.443251,0.338672,1
0.641473,-0.549685,-1
1.262799,-0.413779,-1
-0.672263,0.637385,1
-0.765723,0.765811,1
1.109562,-0.738032,-1
-1.824304,-0.04749,1
1.092087,-0.543396,-1
-0.065656,-0.588029,-1
-0.591256,-0.192393,-1
0.967532,-0.754749,-1
-0.572641,0.112752,-1
-0.072883,-0.64101,-1
-0.294536,-0.526186,-1
-0.217844,0.690859,1
0.430455,-0.108543,1
0.140393,0.368126,1
-0.000705,0.589296,1
0.15621,-0.548666,-1
1.496126,0.18005,-1
-1.71227,0.153397,1
1.229794,-0.67387,-1
-0.838725,0.56648,1
-1.76816,0.084182,1
-0.313155,0.559308,1
-0.109918,-0.563637,-1
0.043602,-0.466844,-1
-0.240785,-0.551605,-1
-0.480707,0.831557,1
-0.462185,-0.152949,-1
-0.260464,0.598658,1
-0.114249,0.485005,1
1.356415,-0.546188,-1
-1.765126,-0.125864,1
0.374129,0.331945,1
0.225148,-0.603494,-1
1.592315,0.063516,-1
-0.588971,0.229506,-1
0.20323,-0.868305,-1
0.294475,0.463435,1
1.102662,-0.456866,-1
0.286139,0.282309,1
-0.103401,0.587882,1
